trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-55.72135422197632,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,10,-13.127928145746395,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-134.29308223032373,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,11,-37.54799234327758,"{0: 7, 1: 4, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-77.6259898751564,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-170.4557516478881,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,9,-1.263824934517248,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,4,-48.289231432100905,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,8,-34.39822925153556,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-113.97348532517115,"{0: 18, 1: 8, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,8,-73.11894870318855,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-50.89500892197477,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-63.7993753808087,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-50.462412826208485,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-45.658750348320616,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-13.548396656517326,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,1,18.29756224439757,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,6,4.4787552407890985,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,18,10.143671685306932,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,26,15.478733093805285,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,6,1.290234950051435,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,2,27.334759198858453,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,13,30.156484854279046,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,14,2.016512069742377,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,2,32.21139233814037,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,9,21.78209972232848,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,17.808861132602917,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.806721332178949,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,3,27.487657742526785,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,13,22.196731327023237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
