trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9975031223974601}",20,0,-41.62637412547167,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.9950124791926823}",20,0,-110.53450052642387,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.9925280548191384}",20,0,-69.86492078197773,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.9900498337491681}",20,0,-166.70919536080586,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.9875778004938814}",25,0,-133.50589694870916,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.9851119396030626}",25,0,-144.4212976520211,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.9826522356650732}",25,0,-63.8891448606171,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9801986733067553}",25,0,-118.02573952753603,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.9777512371933363}",25,0,-119.6627573114501,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9753099120283326}",25,0,-189.6498551183498,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
11,False,"{'a': 0.1, 'e': 0.972874682553454}",30,0,-132.28306378078443,"{0: 14, 1: 6, 2: 9, 3: 1, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.9704455335485082}",20,0,-108.49615792687008,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.968022449831306}",25,0,-107.2303179558201,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.9656054162575665}",25,9,-37.533674763473726,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.1, 'e': 0.9631944177208218}",20,0,-83.00743445354642,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.9607894391523232}",20,0,-90.44497254162766,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.958390465520947}",35,0,-224.59195434610314,"{0: 19, 1: 4, 2: 8, 3: 1, 4: 3}",0
18,False,"{'a': 0.1, 'e': 0.9559974818331}",20,0,-26.966045832034975,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.1, 'e': 0.9536104731326264}",20,0,-100.88426085012884,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.951229424500714}",25,0,-51.662719038897485,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.9488543210558013}",20,0,-7.241197848423123,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.9464851479534838}",20,0,-49.29964457671017,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
