trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.81161513940268,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.11880291123558,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-193.45743557291547,"{0: 15, 1: 2, 2: 10, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-224.25589709970026,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-326.1584195064651,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 6}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.77796342138151,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.4878812671179,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,14,-37.74840585264529,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.8222801945401,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.57039714812936,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-173.7048511507504,"{0: 18, 1: 6, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.98445440559268,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.58832359775607,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.8650325574753,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-270.0196076221458,"{0: 10, 1: 4, 2: 4, 3: 3, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.0383042426121,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.14934108128196,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.941244121494094,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.65422804233525,"{0: 11, 1: 0, 2: 6, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.97508265601955,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.17733836405459,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-139.65945637440652,"{0: 15, 1: 5, 2: 7, 3: 3, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.02636284617577,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.9432626941776,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,4,-127.10105870533118,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.333321951465834,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.49574614074092,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.10506882504524,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.46000465288063,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.10635088123767,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
